topic_name,source,notes
The Water Cycle,curriculum,Science topic - evaporation condensation precipitation
Ancient Egypt,curriculum,Historical topic - pyramids pharaohs culture
Photosynthesis,curriculum,Science topic - plants sunlight energy
The American Revolution,curriculum,History - colonies independence 1776
Animal Adaptations,curriculum,Science - how animals survive in environments
The Solar System,curriculum,Science - planets sun moon
Benjamin Franklin,curriculum,Biography - inventor scientist founding father
Ecosystems,curriculum,Science - food chains habitats
The Great Depression,curriculum,History - 1930s economic crisis
Volcanoes,curriculum,Science - how volcanoes form and erupt
Immigration to America,curriculum,History - Ellis Island melting pot
Weather and Climate,curriculum,Science - temperature precipitation patterns
Martin Luther King Jr,curriculum,Biography - civil rights leader
Rocks and Minerals,curriculum,Science - types of rocks geology
The Civil War,curriculum,History - North vs South slavery
Endangered Species,curriculum,Science - conservation threatened animals
Thomas Edison,curriculum,Biography - inventions light bulb
Ocean Zones,curriculum,Science - different depths of ocean life
Women's Suffrage,curriculum,History - voting rights 19th amendment
Electricity,curriculum,Science - circuits conductors energy
Rosa Parks,curriculum,Biography - civil rights bus boycott
The Rainforest,curriculum,Science - biodiversity climate tropical
The Gold Rush,curriculum,History - 1849 California migration
Magnets,curriculum,Science - poles attraction repulsion
Harriet Tubman,curriculum,Biography - Underground Railroad slavery
Food Webs,curriculum,Science - producers consumers decomposers
The Moon,curriculum,Science - phases orbit craters
George Washington,curriculum,Biography - first president Revolutionary War
Renewable Energy,curriculum,Science - solar wind sustainable power
The Great Wall of China,curriculum,History - ancient China defense structure
Simple Machines,curriculum,Science - levers pulleys inclined planes
Helen Keller,curriculum,Biography - deaf blind author activist
Mammals,curriculum,Science - characteristics warm-blooded vertebrates
The Titanic,curriculum,History - ship disaster 1912
States of Matter,curriculum,Science - solid liquid gas
Jackie Robinson,curriculum,Biography - baseball civil rights pioneer
Butterflies,curriculum,Science - metamorphosis life cycle insects
The Constitution,curriculum,History - government laws Bill of Rights
Forces and Motion,curriculum,Science - push pull gravity friction
Amelia Earhart,curriculum,Biography - pilot aviation pioneer
