topic_name,source,notes
subject-verb agreement,5th grade curriculum,Singular subjects take singular verbs; plural subjects take plural verbs
past perfect tense,newsletter 2025-01-26,Had + past participle; actions completed before another past action
present perfect tense,5th grade curriculum,Has/have + past participle; actions started in past and continue to present
progressive tenses,5th grade curriculum,Present/past/future progressive using -ing form
comma in a series,5th grade curriculum,Commas between items in a list
comma after introductory phrases,5th grade curriculum,Comma after words like however/therefore or introductory clauses
coordinating conjunctions,5th grade curriculum,FANBOYS - for/and/nor/but/or/yet/so
subordinating conjunctions,5th grade curriculum,because/although/since/while/if/when - start dependent clauses
relative pronouns,5th grade curriculum,who/whom/whose/which/that - introduce relative clauses
reflexive pronouns,5th grade curriculum,myself/yourself/himself/herself/itself/ourselves/themselves
homophones,5th grade curriculum,there/their/they're; to/too/two; your/you're
proper nouns,5th grade curriculum,Capitalize names of specific people/places/things
quotation marks,5th grade curriculum,Punctuation with dialogue and direct quotes
apostrophes,5th grade curriculum,Contractions and possessive forms
run-on sentences,5th grade curriculum,Two independent clauses incorrectly joined without proper punctuation
sentence fragments,5th grade curriculum,Incomplete sentences missing subject or predicate
